order_id,customer_id,product_id,quantity,unit_price,order_date,delivery_status,payment_method,region,discount_applied
O911659,C00152,P0001,4,9.6,14-05-2025, Cancelled ,Bank Transfer,North,0.05
O312192,C00469,P0022,4,49.75,13-05-2025,delivered,Credit Card,West,0.05
O494631,C00239,P0030,2,29.19,12-05-2025, DELAYED,PayPal,South,
O301929,C00221,P0025,3,18.29,11-05-2025, Cancelled ,Bank Transfer,Central,0.15
O101648,C00238,P0011,1,19.39,10-05-2025,Delayed,Credit Card,South,0
O753282,C00008,P0007,4,39.63,09-05-2025, Cancelled ,Bank Transfer,East,0.05
O875628,C00479,P0011,3,12.08,08-05-2025,Delivered,Bank Transfer,North,0.2
O384964,C00476,P0017,3,34.16,07-05-2025, DELAYED,Credit Card,Central,0.15
O796756,C00040,P0027,2,38.66,06-05-2025,Delayed,Credit Card,South,0.05
O291094,C00327,P0026,2,30.11,05-05-2025,Delivered,Credit Card,South,
O532899,C00275,P0021,3,20.38,04-05-2025,Delivered,Bank Transfer,East,0.05
O909075,C00073,P0002,3,47.54,03-05-2025, Cancelled ,credit card,West,0.2
O619650,C00318,P0029,2,26.67,02-05-2025, DELAYED,Credit Card,East,0.05
O542524,C00044,P0014,5,49.51,01-05-2025, DELAYED,Credit Card,West,
O612638,C00377,P0016,4,20.8,02-05-2025, DELAYED,PayPal,North,
O136068,C00421,P0012,1,21.09,03-05-2025, Cancelled ,credit card,East,0
O637085,C00010,P0020,1,15.18,04-05-2025, DELAYED,credit card,East,0.15
O494343,C00445,P0012,5,44.15,05-05-2025,delivered,Credit Card,South,0.05
O267004,C00041,P0004,5,33,06-05-2025,delivered,PayPal,East,0
O828103,C00008,P0005,4,46.14,07-05-2025, Cancelled ,Credit Card,South,0
O948197,C00028,P0030,2,41.45,08-05-2025,Delayed,PayPal,East,0.1
O537059,C00079,P0015,3,44.87,09-05-2025,delivered,Credit Card,South,0.1
O536172,C00214,P0019,1,9.01,10-05-2025, Cancelled ,credit card,East,
O619476,C00229,P0014,4,10.79,11-05-2025, DELAYED,PayPal,West,0.1
O207553,C00281,P0006,1,44.98,12-05-2025, DELAYED,Bank Transfer,East,0.05
O803247,C00311,P0029,5,30.1,13-05-2025, DELAYED,PayPal,South,0.05
O614893,C00064,P0011,4,22.73,14-05-2025,delivered,PayPal,North,0.05
O658279,C00313,P0002,2,28.15,15-05-2025,delivered,PayPal,West,
O283531,C00208,P0012,4,34.66,16-05-2025,Delivered,Bank Transfer,East,0.1
O391107,C00072,P0010,2,14.81,17-05-2025,Delayed,Credit Card,Central,
O621260,C00426,P0022,5,15.65,18-05-2025,Delivered,credit card,East,0.2
O512253,C00308,P0018,3,40.41,19-05-2025,Delivered,credit card,East,0.2
O288567,C00177,P0029,1,21.22,20-05-2025, Cancelled ,Bank Transfer,West,0.15
O515824,C00383,P0024,2,32.18,21-05-2025,delivered,PayPal,East,
O773319,C00481,P0018,3,35.97,22-05-2025, Cancelled ,Credit Card,South,0.05
O449151,C00450,P0016,5,22.62,23-05-2025, Cancelled ,credit card,Central,0.15
O822528,C00102,P0021,1,49.84,24-05-2025,Delayed,Bank Transfer,West,0.15
O634569,C00428,P0014,2,38.37,25-05-2025, DELAYED,Credit Card,North,
O486184,C00353,P0020,1,41.22,26-05-2025,delivered,PayPal,East,0.2
O140042,C00475,P0002,1,42.6,27-05-2025,Delayed,Bank Transfer,Central,0.1
O652283,C00020,P0003,4,14.4,28-05-2025,Delayed,PayPal,Central,0
O737500,C00443,P0014,5,38.44,29-05-2025, Cancelled ,credit card,South,
O573673,C00260,P0019,4,16.07,30-05-2025,delivered,Bank Transfer,Central,0.2
O808829,C00313,P0002,1,21.72,31-05-2025, Cancelled ,credit card,West,0.05
O209530,C00438,P0007,2,37.88,01-06-2025,Delayed,Bank Transfer,West,0.15
O960644,C00225,P0019,2,39.02,02-06-2025,Delayed,credit card,North,
O302611,C00394,P0009,2,32.58,03-06-2025,Delivered,Credit Card,Central,0.05
O570855,C00245,P0008,2,15.18,04-06-2025, Cancelled ,credit card,West,0.2
O725272,C00063,P0012,2,10.16,05-06-2025, DELAYED,PayPal,West,0.1
O766853,C00431,P0030,5,49.66,06-06-2025,Delivered,credit card,North,
O386119,C00256,P0008,2,9.47,07-06-2025,Delivered,credit card,North,0.15
O216896,C00413,P0001,5,49.41,08-06-2025,delivered,Credit Card,South,0.1
O479932,C00382,P0027,4,48.65,09-06-2025, DELAYED,credit card,West,0.15
O927428,C00228,P0011,4,44.52,10-06-2025,Delivered,PayPal,East,
O741164,C00143,P0001,3,41.52,11-06-2025,delivered,Bank Transfer,East,0
O372036,C00472,P0007,5,32.51,12-06-2025,Delayed,Credit Card,West,0.05
O190070,C00018,P0002,5,16.79,13-06-2025,delivered,PayPal,South,
O229936,C00437,P0027,2,20.82,14-06-2025,Delayed,PayPal,North,0.2
O967591,C00224,P0006,3,43.01,15-06-2025,delivered,PayPal,West,0
O863622,C00111,P0030,4,23.39,16-06-2025, DELAYED,Bank Transfer,West,0.1
O544736,C00369,P0013,5,21.96,17-06-2025,Delivered,Credit Card,Central,0.2
O515400,C00103,P0024,4,44.15,18-06-2025,delivered,PayPal,East,0.15
O582151,C00493,P0025,1,30.19,19-06-2025,Delayed,credit card,South,
O291427,C00323,P0016,1,17.83,20-06-2025, DELAYED,PayPal,North,
O333267,C00304,P0017,2,33.89,21-06-2025, DELAYED,Bank Transfer,Central,0.1
O178453,C00473,P0008,5,32.92,22-06-2025, DELAYED,PayPal,South,
O187900,C00115,P0003,2,40.24,23-06-2025, DELAYED,credit card,East,0.1
O474137,C00294,P0011,5,8.49,24-06-2025,Delayed,Bank Transfer,South,
O885631,C00192,P0006,5,39.56,25-06-2025,delivered,Credit Card,South,
O102812,C00253,P0006,4,32.3,26-06-2025, DELAYED,Credit Card,South,0.15
O482836,C00469,P0013,2,41.1,27-06-2025,Delivered,credit card,North,0.1
O428722,C00140,P0007,5,19.94,28-06-2025,Delivered,Bank Transfer,North,0.15
O515257,C00441,P0013,3,11.13,29-06-2025,Delayed,Credit Card,West,0
O169645,C00449,P0003,2,13.32,30-06-2025,Delivered,Credit Card,West,0.1
O729478,C00284,P0001,1,23.24,01-07-2025,Delivered,Bank Transfer,South,
O231230,C00358,P0017,3,25.67,02-07-2025, DELAYED,Bank Transfer,West,0.1
O534353,C00198,P0013,4,29.21,03-07-2025, DELAYED,Bank Transfer,South,0.15
O636501,C00234,P0021,3,25.83,04-07-2025,Delayed,Credit Card,North,0.05
O259057,C00233,P0013,3,25.26,05-07-2025,Delayed,PayPal,East,0.2
O131413,C00119,P0020,5,32.94,06-07-2025, DELAYED,Bank Transfer,North,
O544778,C00498,P0001,2,45.51,07-07-2025, Cancelled ,Bank Transfer,West,0
O789755,C00330,P0013,2,11.44,08-07-2025,delivered,PayPal,South,0.05
O415841,C00015,P0009,4,46.87,09-07-2025, DELAYED,PayPal,South,
O846865,C00191,P0027,4,47.47,10-07-2025,delivered,Bank Transfer,East,0
O672067,C00060,P0025,1,11.43,11-07-2025, DELAYED,Credit Card,Central,0.05
O508175,C00440,P0008,2,47.33,12-07-2025,Delivered,credit card,North,0.2
O394184,C00296,P0006,3,27.33,13-07-2025, Cancelled ,PayPal,North,0.15
O609836,C00297,P0013,2,35.57,14-07-2025, DELAYED,credit card,East,0.05
O448033,C00276,P0026,2,27.52,15-07-2025, Cancelled ,Credit Card,West,
O463527,C00414,P0026,5,38.82,16-07-2025,delivered,Bank Transfer,East,0
O688564,C00064,P0007,3,47.27,17-07-2025, DELAYED,PayPal,West,0.1
O542189,C00254,P0019,2,11.68,18-07-2025, DELAYED,Credit Card,Central,0.15
O600845,C00423,P0015,2,21.16,19-07-2025,delivered,PayPal,North,
O893072,C00127,P0028,4,47.02,20-07-2025,delivered,Bank Transfer,Central,
O545533,C00184,P0006,2,25.85,21-07-2025, DELAYED,Credit Card,South,0
O502404,C00180,P0014,4,32.13,22-07-2025, DELAYED,Credit Card,West,0.2
O864368,C00286,P0027,2,46.66,23-07-2025,Delayed,PayPal,East,0
O360765,C00358,P0021,3,46.79,24-07-2025, Cancelled ,PayPal,South,
O509053,C00319,P0017,5,11.11,25-07-2025,Delivered,Bank Transfer,North,0.05
O342273,C00411,P0030,4,27.27,26-07-2025,Delivered,PayPal,Central,0.1
O905284,C00324,P0007,2,36.55,27-07-2025, DELAYED,PayPal,East,0.2
O871459,C00131,P0024,5,27.28,28-07-2025, DELAYED,PayPal,North,
O383252,C00496,P0017,4,27.08,29-07-2025,Delayed,credit card,North,0
O364299,C00067,P0020,2,13.06,30-07-2025, Cancelled ,Bank Transfer,North,0.2
O110354,C00010,P0026,1,11.32,31-07-2025,Delivered,Bank Transfer,South,0.15
O341129,C00154,P0006,2,21.98,01-08-2025, Cancelled ,credit card,East,0.05
O192178,C00259,P0018,5,9.66,02-08-2025,delivered,PayPal,South,0
O516591,C00095,P0010,4,41.56,03-08-2025,Delivered,Credit Card,East,0.15
O884667,C00250,P0018,5,31.78,04-08-2025, DELAYED,Credit Card,South,0.05
O484212,C00360,P0030,1,22.41,05-08-2025,delivered,Bank Transfer,North,0.2
O977187,C00429,P0013,4,46.24,06-08-2025,Delivered,Credit Card,North,0.15
O975068,C00074,P0011,1,17.2,07-08-2025,Delivered,Credit Card,Central,
O803932,C00094,P0003,3,23.27,08-08-2025, DELAYED,Bank Transfer,North,0.1
O186024,C00161,P0012,2,34.01,09-08-2025, DELAYED,Credit Card,Central,
O186250,C00329,P0021,4,44.31,10-08-2025,Delayed,PayPal,South,0.2
O612237,C00407,P0010,2,40.65,11-08-2025,Delivered,Bank Transfer,Central,0.2
O253815,C00285,P0024,5,22.17,12-08-2025,delivered,PayPal,South,0.1
O749429,C00335,P0027,5,10.11,13-08-2025,delivered,PayPal,Central,0.15
O483354,C00329,P0029,3,40.29,14-08-2025,Delayed,PayPal,East,0
O180836,C00351,P0022,4,30.13,15-08-2025,delivered,Credit Card,South,0.2
O419728,C00359,P0011,5,13.85,16-08-2025,delivered,Credit Card,Central,0.05
O116986,C00157,P0030,2,44.4,17-08-2025,Delivered,Credit Card,West,0.05
O139338,C00104,P0010,3,40.22,18-08-2025,delivered,Bank Transfer,South,0
O689360,C00365,P0009,2,35.28,19-08-2025, Cancelled ,PayPal,Central,
O550663,C00095,P0028,2,44.9,20-08-2025,Delivered,PayPal,East,0.05
O455530,C00113,P0005,5,41.73,21-08-2025,Delayed,PayPal,East,0.05
O269928,C00455,P0027,2,20.45,22-08-2025,Delayed,Bank Transfer,South,0.05
O595368,C00123,P0022,2,43.88,23-08-2025,Delivered,credit card,North,0.1
O729784,C00162,P0001,2,22.06,24-08-2025, Cancelled ,Bank Transfer,West,0.1
O529240,C00245,P0025,1,23.81,25-08-2025,Delivered,Bank Transfer,North,0.1
O539949,C00343,P0028,5,13.47,23-08-2025, DELAYED,Bank Transfer,North,0.15
O820049,C00350,P0018,1,42.78,24-08-2025, DELAYED,credit card,South,0.1
O164680,C00074,P0029,1,8.79,22-08-2025,Delivered,PayPal,Central,0
O747332,C00025,P0001,3,17.87,20-08-2025, DELAYED,Credit Card,East,0.05
O267737,C00318,P0012,1,20.63,18-08-2025, Cancelled ,credit card,Central,0
O348086,C00239,P0026,2,24.86,16-08-2025,Delivered,PayPal,East,0
O877178,C00475,P0026,5,27.7,14-08-2025,Delayed,Credit Card,South,
O236540,C00170,P0002,1,14.69,12-08-2025,Delivered,Credit Card,West,0.2
O550724,C00110,P0007,5,40.42,10-08-2025,Delayed,PayPal,South,0
O983859,C00500,P0005,3,49.27,08-08-2025,Delayed,Bank Transfer,Central,0.05
O926312,C00145,P0029,4,39,06-08-2025,Delivered,Credit Card,Central,0.1
O939783,C00070,P0002,1,34.76,04-08-2025, DELAYED,Bank Transfer,North,0.15
O741107,C00144,P0030,5,36.11,02-08-2025, DELAYED,credit card,West,0.15
O706270,C00258,P0015,5,27.29,31-07-2025, DELAYED,PayPal,East,0.2
O155881,C00360,P0002,5,41.49,29-07-2025,Delayed,PayPal,South,0.2
O444543,C00492,P0017,2,15.3,27-07-2025,delivered,Credit Card,North,0.2
O936729,C00228,P0017,3,18.82,25-07-2025,Delivered,Credit Card,North,0
O609242,C00091,P0028,3,26.96,23-07-2025,delivered,Credit Card,East,0.1
O101570,C00265,P0026,5,19.4,21-07-2025,Delivered,PayPal,West,0.1
O638902,C00190,P0017,4,41.12,19-07-2025, DELAYED,Credit Card,North,0.1
O635788,C00396,P0014,1,13.73,17-07-2025,delivered,credit card,South,0
O419116,C00027,P0005,2,49.57,15-07-2025,Delayed,Credit Card,East,0.15
O891037,C00002,P0014,3,28.65,13-07-2025, DELAYED,Credit Card,Central,0.05
O952010,C00175,P0005,3,45.92,11-07-2025,delivered,Credit Card,West,0.05
O129054,C00103,P0011,4,44.42,09-07-2025, Cancelled ,Credit Card,South,
O685654,C00256,P0006,4,29.38,07-07-2025,Delivered,credit card,East,
O904574,C00373,P0024,5,18.12,05-07-2025, Cancelled ,Credit Card,South,0.05
O790157,C00209,P0023,1,44.14,03-07-2025,Delayed,Bank Transfer,East,0.05
O161553,C00113,P0022,1,37.43,01-07-2025, DELAYED,Credit Card,Central,0.1
O196076,C00272,P0015,4,27.96,29-06-2025, Cancelled ,Bank Transfer,South,
O206645,C00319,P0015,5,29.62,27-06-2025, Cancelled ,PayPal,South,0.05
O661203,C00336,P0020,3,26.26,25-06-2025,Delivered,PayPal,East,
O489060,C00327,P0021,1,24.68,23-06-2025, DELAYED,credit card,North,0.1
O843173,C00473,P0022,5,12.45,21-06-2025,Delayed,credit card,Central,0.1
O295267,C00092,P0028,2,30.03,19-06-2025,delivered,Credit Card,East,0.15
O231677,C00314,P0003,5,45.47,17-06-2025,Delayed,Bank Transfer,Central,0.15
O121367,C00246,P0002,4,11.64,15-06-2025,Delivered,credit card,North,0.05
O734406,C00369,P0003,3,16.01,13-06-2025, Cancelled ,PayPal,East,0
O994896,C00480,P0018,4,19.91,11-06-2025, DELAYED,credit card,South,0
O126114,C00244,P0015,4,20.01,09-06-2025,Delayed,PayPal,East,0.05
O685772,C00270,P0004,2,27.5,07-06-2025,Delayed,Bank Transfer,West,0.05
O146360,C00014,P0004,3,32.63,05-06-2025,Delayed,PayPal,Central,0
O101442,C00381,P0022,3,13.01,03-06-2025, DELAYED,credit card,West,0.05
O354389,C00018,P0004,2,37.56,01-06-2025, Cancelled ,credit card,West,0.1
O188936,C00285,P0018,5,28.19,30-05-2025,delivered,Bank Transfer,East,0.2
O565535,C00088,P0022,3,12.83,28-05-2025, DELAYED,PayPal,Central,
O903330,C00169,P0016,4,26.71,26-05-2025, Cancelled ,PayPal,North,
O247208,C00023,P0017,1,43.17,24-05-2025,delivered,PayPal,Central,0.15
O868597,C00439,P0010,4,20.9,22-05-2025, Cancelled ,PayPal,Central,0.1
O549392,C00055,P0028,5,39.95,20-05-2025,Delivered,PayPal,South,0.1
O630734,C00099,P0023,5,23.76,18-05-2025,Delayed,Bank Transfer,East,0
O945816,C00060,P0016,1,44.85,16-05-2025,delivered,credit card,North,
O372680,C00421,P0022,3,33.97,14-05-2025,Delayed,PayPal,South,
O368753,C00167,P0003,3,10.2,12-05-2025,delivered,credit card,East,0.05
O567475,C00332,P0017,3,23.08,10-05-2025, DELAYED,credit card,East,0.05
O857172,C00122,P0024,1,9.78,08-05-2025,Delayed,PayPal,North,0.05
O532742,C00325,P0015,5,31.67,06-05-2025,Delayed,Bank Transfer,West,0
O976301,C00303,P0018,3,8.78,04-05-2025, Cancelled ,PayPal,South,0.15
O125232,C00173,P0013,3,10.77,02-05-2025,Delayed,Credit Card,South,0
O972169,C00136,P0002,1,21.82,05-05-2025, DELAYED,Credit Card,North,0
O792612,C00436,P0027,3,49.94,08-05-2025, DELAYED,credit card,North,
O596820,C00203,P0003,3,14.23,11-05-2025, Cancelled ,Credit Card,Central,0
O514621,C00421,P0013,1,15.67,14-05-2025,delivered,Bank Transfer,South,
O107710,C00284,P0016,3,28.17,17-05-2025,Delivered,Bank Transfer,North,
O648683,C00153,P0026,4,31.4,20-05-2025,delivered,Credit Card,South,
O832672,C00337,P0018,3,19.33,23-05-2025,delivered,Credit Card,South,0.1
O677663,C00291,P0006,1,45.48,26-05-2025,Delayed,Bank Transfer,North,0.05
O443992,C00195,P0024,4,9.37,29-05-2025,Delayed,Bank Transfer,North,
O233012,C00310,P0019,3,35.6,01-06-2025,Delivered,Bank Transfer,South,0.2
O998205,C00193,P0015,4,46.57,04-06-2025,Delivered,Credit Card,South,0.15
O526860,C00156,P0030,1,16.72,07-06-2025,Delivered,Credit Card,North,0.2
O932578,C00071,P0011,2,38.12,10-06-2025,Delivered,PayPal,East,0.2
O433419,C00145,P0008,3,36.26,13-06-2025, Cancelled ,PayPal,South,0
O416004,C00200,P0025,4,8.34,16-06-2025,delivered,PayPal,North,
O273097,C00171,P0008,1,17.96,19-06-2025, DELAYED,Bank Transfer,Central,0.15
O210166,C00108,P0024,5,47.23,22-06-2025,Delayed,PayPal,East,0
O922901,C00246,P0005,1,24.05,25-06-2025,Delivered,Credit Card,Central,0.1
O840237,C00070,P0023,1,31.41,28-06-2025,Delivered,Bank Transfer,East,0.15
O845999,C00013,P0007,2,39.08,01-07-2025,delivered,PayPal,Central,0.1
O149709,C00497,P0010,2,10.82,04-07-2025,delivered,credit card,West,
O675279,C00365,P0025,2,22.26,07-07-2025, DELAYED,credit card,East,0
O438181,C00310,P0030,4,42.26,10-07-2025,delivered,Credit Card,West,
O997636,C00386,P0005,2,26.92,13-07-2025, Cancelled ,credit card,Central,0.2
O754562,C00018,P0008,1,15.79,16-07-2025, DELAYED,Credit Card,Central,0.2
O225071,C00449,P0015,4,36.67,19-07-2025, DELAYED,Credit Card,Central,0.2
O431681,C00192,P0023,3,38.66,22-07-2025,Delivered,credit card,South,0.15
O524947,C00371,P0017,5,34.21,25-07-2025,delivered,Bank Transfer,Central,0
O773649,C00205,P0009,3,44.82,28-07-2025,delivered,PayPal,West,0.05
O583659,C00126,P0005,1,48.54,31-07-2025,Delivered,Bank Transfer,East,0
O922691,C00067,P0011,5,33.04,03-08-2025,Delivered,PayPal,North,0.05
O383089,C00433,P0005,1,43.61,06-08-2025, DELAYED,Bank Transfer,East,0.05
O941586,C00279,P0002,2,17.6,09-08-2025, Cancelled ,Bank Transfer,East,0.05
O959241,C00371,P0014,2,18.7,12-08-2025,Delivered,credit card,North,0.15
O469377,C00051,P0010,1,28.87,15-08-2025,Delayed,Credit Card,East,0.05
O649841,C00404,P0014,5,12.54,18-08-2025,Delayed,credit card,East,
O357900,C00483,P0010,3,11.35,21-08-2025,delivered,PayPal,North,0.1
O703261,C00486,P0017,2,28.14,24-08-2025,delivered,Credit Card,North,0.1
O787992,C00295,P0014,5,9.26,21-08-2025, DELAYED,credit card,Central,
O453428,C00143,P0013,1,31.51,18-08-2025,Delayed,PayPal,East,
O739210,C00415,P0018,4,9.49,15-08-2025, DELAYED,Credit Card,East,0.05
O533574,C00089,P0009,3,14.7,12-08-2025,delivered,credit card,East,0.1
O197764,C00314,P0008,4,24.45,09-08-2025, DELAYED,PayPal,East,
O936006,C00421,P0010,5,37.47,06-08-2025,delivered,PayPal,Central,0.05
O107022,C00115,P0023,2,31.65,03-08-2025,Delivered,credit card,North,0
O858987,C00146,P0004,5,31.92,31-07-2025,Delayed,Credit Card,South,0
O216058,C00179,P0029,1,40.52,28-07-2025,Delayed,Bank Transfer,South,0.15
O387113,C00291,P0005,3,20.25,25-07-2025,Delivered,PayPal,West,0.2
O799295,C00473,P0025,4,8.57,22-07-2025,delivered,PayPal,South,0.2
O612160,C00388,P0017,3,22.05,19-07-2025, DELAYED,credit card,West,0.2
O751626,C00380,P0027,1,30.11,16-07-2025,delivered,PayPal,North,
O547768,C00256,P0005,5,30.65,13-07-2025, Cancelled ,Credit Card,North,0.15
